Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
170451.0,365.0,,,,,410.0,,,,8.0,
547753.0,365.0,,,,,410.0,,,,6.8,
742548.0,365.0,,,,,410.0,,,,6.2,
547627.0,365.0,,,,,110.0,,,,7.9,
742428.0,365.0,,,,,112.0,,,,6.9,
168535.0,365.0,,,,,212.0,,,,13.4,
170423.0,365.0,,,,,212.0,,,,8.7,
176713.0,375.0,,,,,409.0,,,,16.8,
336600.0,375.0,,,,,409.0,,,,22.7,
549869.0,375.0,,,,,409.0,,,,16.4,
741003.0,375.0,,,,,409.0,,,,14.3,
176651.0,375.0,,,,,210.0,,,,17.2,
177963.0,365.0,,,,,309.0,,,,11.5,
823248.0,365.0,,,,,309.0,,,,8.4,
179590.0,365.0,,,,,3.0,,,,11.8,
173602.0,365.0,,,,,104.0,,,,10.4,
547513.0,365.0,,,,,203.0,,,,7.5,
178498.0,365.0,,,,,209.0,,,,9.8,
333997.0,365.0,,,,,209.0,,,,8.1,
669793.0,365.0,,,,,209.0,,,,5.9,
178435.0,365.0,,,,,409.0,,,,9.4,
669790.0,365.0,,,,,210.0,,,,5.7,
176671.0,375.0,,,,,409.0,,,,17.3,
825994.0,375.0,,,,,409.0,,,,9.8,
602717.0,375.0,,,,,106.0,,,,20.8,
740909.0,375.0,,,,,106.0,,,,14.2,
176062.0,375.0,,,,,209.0,,,,14.0,
602813.0,375.0,,,,,410.0,,,,10.5,
741005.0,375.0,,,,,410.0,,,,4.9,
825995.0,375.0,,,,,409.0,,,,18.6,
412537.0,375.0,,,,,409.0,,,,16.2,
602810.0,375.0,,,,,409.0,,,,16.2,
741002.0,375.0,,,,,409.0,,,,9.9,
740940.0,375.0,,,,,209.0,,,,16.0,
334314.0,365.0,,,,,402.0,,,,10.9,
170413.0,365.0,,,,,202.0,,,,9.8,
169292.0,365.0,,,,,202.0,,,,11.5,
411097.0,365.0,,,,,402.0,,,,9.3,
169469.0,365.0,,,,,202.0,,,,11.2,
823347.0,365.0,,,,,102.0,,,,9.4,
643619.0,375.0,,,,,212.0,,,,11.7,
167680.0,375.0,,,,,412.0,,,,21.6,
167562.0,375.0,,,,,412.0,,,,22.3,
213453.0,375.0,,,,,412.0,,,,13.6,
643710.0,375.0,,,,,412.0,,,,19.9,
667837.0,375.0,,,,,412.0,,,,14.3,
167532.0,375.0,,,,,212.0,,,,22.1,
167530.0,375.0,,,,,210.0,,,,21.3,
167648.0,375.0,,,,,210.0,,,,20.4,
165910.0,375.0,,,,,412.0,,,,28.4,
166677.0,375.0,,,,,412.0,,,,18.5,
167798.0,375.0,,,,,412.0,,,,19.1,
550151.0,375.0,,,,,412.0,,,,17.8,
741285.0,375.0,,,,,412.0,,,,15.1,
165880.0,375.0,,,,,212.0,,,,25.4,
167768.0,375.0,,,,,212.0,,,,18.0,
741195.0,375.0,,,,,212.0,,,,15.6,
166645.0,375.0,,,,,210.0,,,,17.2,
165878.0,375.0,,,,,210.0,,,,26.4,
336876.0,375.0,,,,,410.0,,,,24.1,
550055.0,375.0,,,,,210.0,,,,18.1,
741189.0,375.0,,,,,210.0,,,,15.4,
550061.0,375.0,,,,,212.0,,,,18.4,
171641.0,375.0,,,,,211.0,,,,32.6,
549929.0,375.0,,,,,211.0,,,,20.7,
741063.0,375.0,,,,,211.0,,,,19.0,
172083.0,375.0,,,,,211.0,,,,23.1,
171639.0,375.0,,,,,209.0,,,,28.4,
336654.0,375.0,,,,,209.0,,,,24.9,
172727.0,375.0,,,,,209.0,,,,18.6,
643404.0,375.0,,,,,401.0,,,,25.7,
178547.0,365.0,,,,,305.0,,,,11.2,
823259.0,365.0,,,,,305.0,,,,7.1,
178529.0,365.0,,,,,105.0,,,,10.2,
177917.0,365.0,,,,,305.0,,,,12.1,
177925.0,365.0,,,,,403.0,,,,10.1,
742229.0,365.0,,,,,305.0,,,,8.9,
742190.0,365.0,,,,,203.0,,,,8.5,
823314.0,365.0,,,,,105.0,,,,7.3,
334020.0,365.0,,,,,305.0,,,,11.1,
177799.0,365.0,,,,,403.0,,,,10.2,
742230.0,365.0,,,,,305.0,,,,7.0,
177791.0,365.0,,,,,305.0,,,,12.9,
742254.0,365.0,,,,,403.0,,,,6.5,
742224.0,365.0,,,,,303.0,,,,6.8,
130419.0,640.0,,,,,305.0,,,,95.0,
130417.0,640.0,,,,,303.0,,,,11.6,
130399.0,640.0,,,,,103.0,,,,24.5,
177841.0,365.0,,,,,403.0,,,,11.6,
742228.0,365.0,,,,,305.0,,,,7.1,
742223.0,365.0,,,,,303.0,,,,8.7,
175355.0,375.0,,,,,305.0,,,,35.9,
336558.0,375.0,,,,,305.0,,,,29.2,
176699.0,375.0,,,,,305.0,,,,28.6,
175901.0,375.0,,,,,305.0,,,,30.9,
336582.0,375.0,,,,,403.0,,,,24.0,
549827.0,375.0,,,,,305.0,,,,25.0,
740961.0,375.0,,,,,305.0,,,,20.3,
175342.0,375.0,,,,,203.0,,,,32.2,
740922.0,375.0,,,,,203.0,,,,17.1,
336519.0,375.0,,,,,203.0,,,,26.4,
