name,measure,measureInfo,geoTypeName,geoJoinId,geoPlaceName,timePeriod,start_date,dataValue,message
,,,,203.0,,,,19.4,
,,,,203.0,,,,11.9,
,,,,105.0,,,,13.8,
,,,,303.0,,,,22.4,
,,,,103.0,,,,21.2,
,,,,305.0,,,,12.1,
,,,,305.0,,,,12.9,
,,,,305.0,,,,10.2,
,,,,403.0,,,,10.1,
,,,,306.0,,,,11.7,
,,,,306.0,,,,10.9,
,,,,306.0,,,,7.4,
,,,,106.0,,,,13.3,
,,,,106.0,,,,13.2,
,,,,106.0,,,,8.3,
,,,,306.0,,,,8.0,
,,,,408.0,,,,7.0,
,,,,106.0,,,,12.3,
,,,,106.0,,,,9.8,
,,,,305.0,,,,28.6,
,,,,403.0,,,,17.4,
,,,,305.0,,,,28.0,
,,,,403.0,,,,14.1,
,,,,203.0,,,,23.1,
,,,,105.0,,,,22.5,
,,,,303.0,,,,17.8,
,,,,303.0,,,,22.0,
,,,,303.0,,,,23.3,
,,,,103.0,,,,17.3,
,,,,411.0,,,,18.6,
,,,,411.0,,,,13.0,
,,,,411.0,,,,13.5,
,,,,209.0,,,,15.8,
,,,,209.0,,,,21.5,
,,,,409.0,,,,14.7,
,,,,409.0,,,,19.5,
,,,,409.0,,,,15.5,
,,,,409.0,,,,21.5,
,,,,411.0,,,,14.2,
,,,,211.0,,,,23.6,
,,,,409.0,,,,20.6,
,,,,409.0,,,,25.1,
,,,,410.0,,,,12.7,
,,,,410.0,,,,11.4,
,,,,210.0,,,,16.1,
,,,,210.0,,,,14.7,
,,,,402.0,,,,16.9,
,,,,411.0,,,,16.1,
,,,,409.0,,,,17.6,
,,,,209.0,,,,22.2,
,,,,411.0,,,,22.7,
,,,,109.0,,,,22.4,
,,,,409.0,,,,20.4,
,,,,409.0,,,,18.7,
,,,,409.0,,,,13.8,
,,,,411.0,,,,21.3,
,,,,211.0,,,,12.9,
,,,,409.0,,,,20.1,
,,,,411.0,,,,24.2,
,,,,411.0,,,,8.9,
,,,,407.0,,,,16.0,
,,,,208.0,,,,31.4,
,,,,2.0,,,,34.9,
,,,,107.0,,,,53.39999999999999,
,,,,207.0,,,,41.9,
,,,,207.0,,,,49.9,
,,,,403.0,,,,26.1,
,,,,304.0,,,,18.2,
,,,,304.0,,,,16.6,
,,,,207.0,,,,23.8,
,,,,207.0,,,,14.0,
,,,,307.0,,,,8.9,
,,,,207.0,,,,10.5,
,,,,308.0,,,,5.3,
,,,,408.0,,,,10.5,
,,,,408.0,,,,6.2,
,,,,408.0,,,,7.4,
,,,,408.0,,,,7.6,
,,,,308.0,,,,9.8,
,,,,308.0,,,,8.4,
,,,,207.0,,,,2.3,
,,,,308.0,,,,14.6,
,,,,308.0,,,,11.0,
,,,,103.0,,,,7.9,
,,,,103.0,,,,9.6,
,,,,204.0,,,,7.7,
,,,,1.0,,,,19.6,
,,,,107.0,,,,25.5,
,,,,207.0,,,,9.7,
,,,,2.0,,,,18.1,
,,,,2.0,,,,18.2,
,,,,2.0,,,,23.4,
,,,,2.0,,,,13.6,
,,,,207.0,,,,22.8,
,,,,107.0,,,,21.9,
,,,,204.0,,,,18.7,
,,,,303.0,,,,33.1,
,,,,303.0,,,,26.7,
,,,,2.0,,,,19.9,
,,,,207.0,,,,30.5,
,,,,207.0,,,,16.4,
,,,,207.0,,,,18.8,
,,,,307.0,,,,24.8,
,,,,303.0,,,,20.8,
,,,,404.0,,,,19.9,
,,,,103.0,,,,24.3,
,,,,308.0,,,,31.6,
,,,,308.0,,,,30.0,
,,,,2.0,,,,34.0,
,,,,207.0,,,,32.7,
,,,,208.0,,,,35.8,
,,,,107.0,,,,33.4,
,,,,1.0,,,,33.2,
,,,,407.0,,,,34.3,
,,,,403.0,,,,11.5,
,,,,304.0,,,,11.8,
,,,,404.0,,,,23.7,
,,,,308.0,,,,8.2,
,,,,308.0,,,,9.0,
,,,,2.0,,,,12.6,
,,,,2.0,,,,10.9,
,,,,2.0,,,,8.7,
,,,,2.0,,,,7.5,
,,,,304.0,,,,9.0,
,,,,304.0,,,,7.7,
,,,,307.0,,,,11.1,
,,,,208.0,,,,7.7,
,,,,207.0,,,,11.4,
,,,,207.0,,,,11.8,
,,,,208.0,,,,35.7,
,,,,307.0,,,,53.39999999999999,
,,,,303.0,,,,53.39999999999999,
,,,,404.0,,,,53.39999999999999,
,,,,303.0,,,,53.39999999999999,
,,,,103.0,,,,53.39999999999999,
,,,,107.0,,,,42.7,
,,,,207.0,,,,8.1,
,,,,304.0,,,,6.5,
,,,,1.0,,,,12.1,
,,,,2.0,,,,11.6,
,,,,2.0,,,,20.6,
,,,,107.0,,,,22.3,
,,,,207.0,,,,21.2,
,,,,1.0,,,,21.0,
,,,,1.0,,,,12.2,
,,,,307.0,,,,24.3,
,,,,2.0,,,,14.5,
,,,,2.0,,,,16.0,
,,,,107.0,,,,23.0,
,,,,1.0,,,,23.9,
,,,,2.0,,,,25.3,
,,,,2.0,,,,16.7,
,,,,107.0,,,,7.1,
,,,,207.0,,,,6.6,
,,,,2.0,,,,0.8,
,,,,207.0,,,,1.7,
,,,,1.0,,,,6.3,
,,,,308.0,,,,17.8,
,,,,409.0,,,,53.39999999999999,
,,,,302.0,,,,13.8,
,,,,302.0,,,,11.7,
,,,,302.0,,,,9.5,
,,,,302.0,,,,8.3,
,,,,401.0,,,,7.7,
,,,,209.0,,,,8.1,
,,,,410.0,,,,7.0,
,,,,210.0,,,,11.0,
,,,,210.0,,,,6.0,
,,,,210.0,,,,5.4,
,,,,106.0,,,,8.6,
,,,,201.0,,,,17.4,
,,,,201.0,,,,26.2,
,,,,201.0,,,,16.5,
,,,,201.0,,,,21.8,
,,,,301.0,,,,21.7,
,,,,301.0,,,,19.7,
,,,,202.0,,,,16.3,
,,,,102.0,,,,26.3,
,,,,402.0,,,,19.2,
,,,,202.0,,,,26.1,
,,,,202.0,,,,24.3,
,,,,202.0,,,,24.5,
,,,,201.0,,,,25.9,
,,,,301.0,,,,26.8,
